MODEL,SITE,Metric,ref_mean
L2C_FNN,SampleData,mAUC,0.809667215206467
L2C_FNN,SampleData,mmseMAE,1.8545170415484724
L2C_FNN,SampleData,ventsMAE,0.0019691941720627756
